Restaurant_id,Category,Name,Price_tier,Neighborhood,Opening_hours,Closing_hours,Average_rating,Good_for_kids
1,French,Ruby's,Cheap,Midtown East,8:51,17:06,2,True
2,Mexican,Che Li,Expensive,Little Italy,3:51,3:24,3,False
3,Mexican,Palma,Expensive,Greenwich Village,8:54,5:49,2,False
4,French,Raku,Expensive,Chelsea,12:34,23:14,4,False
5,Japanese,Dudley's,Medium,Lower East Side,2:31,17:18,1,False
6,American,Au Cheval,Cheap,Tribeca,10:21,1:04,3,True
7,Japanese,Ruby's,Expensive,Midtown East,7:15,8:56,5,True
8,Japanese,Au Cheval,Medium,Lower East Side,12:36,15:53,5,False
9,Mexican,ABC Kitchen,Cheap,East Village,3:17,22:38,1,True
10,French,Mareluna,Medium,Financial District,21:10,3:07,1,False
11,Thai,Palma,Medium,Upper East Side,21:39,12:09,2,False
12,Mexican,ABC Kitchen,Medium,Soho,19:03,21:43,2,False
13,American,Ippudo,Expensive,Upper West Side,2:46,5:59,1,False
14,Chinese,Five Guys,Expensive,Gramercy,3:58,0:57,4,True
15,Thai,Cha Long,Cheap,Upper East Side,16:58,1:32,4,True
16,Thai,Fish Cheeks,Cheap,Chinatown,5:08,11:09,2,True
17,Mexican,Konbon,Expensive,Hell's Kitchen,4:50,21:25,5,True
18,Chinese,Sadelle's,Cheap,East Village,13:13,23:48,3,True
19,Japanese,Sonnyboy,Expensive,Tribeca,18:16,19:30,1,False
20,Korean,Take 31,Cheap,Tribeca,9:36,15:38,1,False
21,Korean,Fish Cheeks,Expensive,Chelsea,2:21,23:43,5,False
22,Thai,Ruby's,Expensive,Greenwich Village,12:38,13:57,4,False
23,American,Cha Long,Medium,Tribeca,18:05,12:14,5,False
24,Korean,Sadelle's,Medium,Upper West Side,20:32,20:19,4,True
25,Korean,Chipotle,Medium,Tribeca,19:38,2:32,3,True
26,Chinese,Chipotle,Expensive,Tribeca,5:09,20:49,2,False
27,Thai,Cha Long,Expensive,Lower East Side,15:29,23:51,1,False
28,Korean,Take 31,Expensive,Gramercy,17:57,21:37,2,True
29,Chinese,Torrisi,Expensive,Lower East Side,4:58,3:14,3,False
30,French,Ippudo,Expensive,Greenwich Village,0:09,10:10,5,True
31,Mexican,Tatiana,Cheap,Chelsea,4:23,15:13,3,False
32,Thai,Ruby's,Medium,Upper West Side,23:54,20:26,1,False
33,Korean,Nemesis,Medium,Lower East Side,15:02,7:21,1,False
34,Thai,Au Cheval,Expensive,Gramercy,4:46,18:56,3,True
35,Italian,Chipotle,Expensive,Chelsea,20:25,13:31,2,True
36,Chinese,The Modern,Cheap,Little Italy,6:07,14:56,2,False
37,Italian,Ruby's,Cheap,Soho,1:20,10:28,1,True
38,Japanese,Torrisi,Cheap,Upper West Side,13:31,15:52,1,True
39,Chinese,Gramercy Tavern,Expensive,Gramercy,13:58,4:13,1,True
40,Italian,Palma,Medium,Little Italy,4:28,19:28,4,False
41,American,Take 31,Medium,Hell's Kitchen,15:07,22:29,1,False
42,French,The Modern,Medium,Upper West Side,19:42,18:23,2,False
43,Japanese,Torrisi,Cheap,Upper West Side,11:15,0:53,4,True
44,Italian,Tatiana,Medium,Upper West Side,11:32,15:26,5,False
45,Mexican,Raku,Expensive,Little Italy,2:51,6:16,1,False
46,Thai,Konbon,Cheap,Financial District,23:19,18:31,3,True
47,Korean,Cha Long,Cheap,Midtown East,21:31,3:06,5,False
48,Japanese,Tatiana,Cheap,Financial District,16:54,13:48,1,True
49,Italian,Chipotle,Cheap,Soho,20:29,23:50,1,True
50,Japanese,Raku,Expensive,Chelsea,1:11,0:02,1,True
51,American,Mareluna,Expensive,Upper East Side,14:38,21:57,4,False
52,French,Raku,Cheap,Greenwich Village,17:04,5:46,5,True
53,French,Cha Long,Cheap,Tribeca,6:58,6:54,5,True
54,American,Five Guys,Expensive,Tribeca,13:30,17:27,1,False
55,American,Gramercy Tavern,Cheap,Gramercy,4:39,21:07,5,True
56,Italian,Torrisi,Cheap,Upper West Side,0:56,7:33,2,False
57,Chinese,Golden Wuish,Expensive,Little Italy,4:36,23:50,4,True
58,Chinese,Sonnyboy,Medium,East Village,11:48,17:50,1,False
59,Korean,Take 31,Medium,Tribeca,18:36,6:26,1,False
60,Chinese,Ippudo,Cheap,Soho,5:24,11:56,1,False
61,American,Konbon,Expensive,Little Italy,9:43,14:26,5,False
62,Chinese,Sadelle's,Expensive,Upper West Side,8:14,15:51,3,False
63,American,Tatiana,Medium,Little Italy,10:14,17:40,1,True
64,American,Cha Long,Medium,Lower East Side,8:50,20:33,3,True
65,French,Au Cheval,Cheap,Little Italy,21:06,19:02,3,False
66,American,Fish Cheeks,Cheap,Lower East Side,9:32,10:05,2,False
67,Korean,Ippudo,Medium,Little Italy,4:21,21:36,1,True
68,Chinese,Up Thai,Cheap,Gramercy,13:14,23:04,2,False
69,Italian,Ippudo,Cheap,Little Italy,19:58,16:44,3,False
70,Italian,Tatiana,Cheap,Chelsea,6:00,6:42,3,True
71,Japanese,Nemesis,Expensive,Gramercy,20:32,12:23,1,False
72,Thai,Five Guys,Cheap,East Village,7:18,17:59,4,True
73,Korean,Che Li,Cheap,Midtown East,0:59,0:06,4,False
74,Chinese,Take 31,Expensive,Upper East Side,16:46,4:42,2,True
75,American,Dig,Medium,Upper East Side,21:03,12:58,1,True
76,Thai,Up Thai,Cheap,Financial District,3:10,20:06,4,True
77,American,Mamo,Expensive,Lower East Side,19:53,4:37,4,True
78,American,Mareluna,Medium,Gramercy,10:01,6:27,3,True
79,American,Ruby's,Medium,Little Italy,16:11,5:10,4,False
80,Chinese,Mamo,Medium,Chinatown,22:02,16:32,3,True
81,Korean,Torrisi,Cheap,Gramercy,3:03,23:33,3,True
82,Mexican,Raku,Expensive,Upper East Side,19:18,14:48,3,False
83,American,Golden Wuish,Medium,Lower East Side,3:03,8:05,5,False
84,Italian,Raku,Expensive,Midtown East,4:44,22:19,1,True
85,Italian,Gramercy Tavern,Medium,Greenwich Village,0:12,10:54,1,True
86,Mexican,Gramercy Tavern,Expensive,Upper East Side,21:25,22:25,5,False
87,American,Sonnyboy,Cheap,Little Italy,21:49,3:25,3,True
88,Italian,Five Guys,Cheap,Little Italy,10:59,11:09,2,True
89,French,ABC Kitchen,Medium,Little Italy,19:07,19:41,4,False
90,American,Carbone,Cheap,Upper West Side,10:09,8:25,2,False
91,Chinese,The Modern,Expensive,Chinatown,15:22,16:17,4,True
92,Korean,Palma,Expensive,Upper West Side,3:53,4:49,1,False
93,Chinese,Au Cheval,Cheap,East Village,7:01,10:14,5,True
94,Italian,Take 31,Medium,Upper East Side,19:43,12:50,1,True
95,Italian,Gramercy Tavern,Cheap,Chelsea,14:18,8:00,3,True
96,American,Cha Long,Cheap,Chinatown,15:40,13:58,2,True
97,Japanese,Gramercy Tavern,Cheap,Tribeca,21:21,11:16,4,False
98,Mexican,Ippudo,Cheap,Chelsea,16:51,19:14,5,False
99,Japanese,Chipotle,Cheap,Hell's Kitchen,19:27,9:57,1,False
100,Thai,Tatiana,Expensive,Upper East Side,0:40,7:06,3,False
101,Mexican,Au Cheval,Medium,Chinatown,13:15,23:12,3,False
102,Chinese,Take 31,Cheap,Hell's Kitchen,9:46,23:21,3,True
103,Japanese,Mamo,Medium,Gramercy,21:27,20:27,1,True
104,Korean,ABC Kitchen,Expensive,Hell's Kitchen,1:00,1:06,4,False
105,American,Five Guys,Medium,East Village,11:33,6:46,4,True
106,American,The Modern,Cheap,Lower East Side,21:55,6:47,4,True
107,Thai,Mamo,Expensive,Greenwich Village,21:51,3:51,1,False
108,Japanese,Five Guys,Expensive,Financial District,3:18,22:10,3,True
109,Thai,Fish Cheeks,Medium,Little Italy,13:48,22:11,4,False
110,Japanese,Torrisi,Cheap,Gramercy,20:39,11:27,2,False
111,Mexican,ABC Kitchen,Cheap,Chinatown,1:00,11:35,2,False
112,Japanese,Up Thai,Cheap,Gramercy,23:28,9:51,2,False
113,Italian,Gramercy Tavern,Expensive,Tribeca,15:52,1:27,5,False
114,Italian,Take 31,Medium,Chinatown,21:10,9:52,4,False
115,Japanese,Konbon,Medium,Financial District,14:17,11:11,2,True
116,Thai,The Modern,Medium,Upper East Side,4:16,8:20,3,False
117,French,Dudley's,Medium,Tribeca,5:22,10:13,4,True
118,Japanese,Ippudo,Cheap,Financial District,4:19,14:02,3,True
119,American,Dig,Medium,Financial District,4:25,17:33,1,False
120,Mexican,Au Cheval,Cheap,Little Italy,15:46,5:51,5,True
121,Korean,Torrisi,Cheap,East Village,23:56,18:34,5,True
122,Korean,Torrisi,Cheap,Chinatown,8:43,2:29,2,True
123,Thai,Che Li,Cheap,Financial District,23:40,15:15,4,True
124,Mexican,Au Cheval,Cheap,Lower East Side,8:46,16:38,5,True
125,Chinese,Sadelle's,Medium,Little Italy,12:23,14:23,5,False
126,Chinese,Raku,Cheap,Financial District,17:28,6:26,5,True
127,Thai,Gramercy Tavern,Cheap,Financial District,14:09,18:30,1,False
128,Japanese,Au Cheval,Cheap,Midtown East,17:54,13:50,3,False
129,Italian,Cha Long,Cheap,Financial District,13:29,1:37,1,True
130,Japanese,Golden Wuish,Medium,Upper East Side,4:35,6:21,5,True
131,Chinese,Golden Wuish,Medium,Gramercy,11:11,17:19,5,True
132,Thai,Au Cheval,Medium,Soho,5:59,16:49,3,True
133,Korean,ABC Kitchen,Cheap,Upper East Side,10:11,10:47,1,False
134,Mexican,Nemesis,Cheap,Upper East Side,9:40,3:13,4,False
135,French,Mamo,Expensive,Tribeca,2:48,2:02,1,False
136,French,Chipotle,Expensive,Midtown East,6:07,15:49,4,True
137,Japanese,Dudley's,Expensive,Chelsea,2:56,5:52,3,False
138,American,Five Guys,Medium,Upper West Side,2:26,14:58,3,False
